seq,ax,ay,az,gx,gy,gz,qx,qy,qz,qw,roll,pitch,yaw,rax,ray,raz,wx,wy,wz
39,14852,-29100,-17620,1979,-1196,-169,-0.08,0.07,-0.1,0.988892,-9.580047,-7.596634,11.336626,7220,-11007,-16319,2180,-14392,-15088
40,14844,-14728,-9772,2363,-2406,1308,-0.07,0.05,-0.1,0.991333,-8.33052,-4.882556,11.1894,7458,-10767,-15768,3421,-13947,-14624
41,13608,-6164,-5476,1811,-3344,1992,-0.05,0.01,-0.08,0.994873,-6.414182,-1.027602,9.449101,7042,-8032,-14151,5111,-10564,-13288
42,12448,-252,-448,1433,-4169,2269,-0.04,-0.03,-0.06,0.996765,-4.801805,3.910482,6.929279,6207,-4985,-12191,6256,-6753,-11279
43,11092,4028,11204,1235,-5189,2375,-0.03,-0.09,-0.03,0.995239,-3.542966,9.889702,4.041002,5017,-2189,-9378,6351,-3144,-8225
44,10412,16128,32767,982,-6012,2504,-0.02,-0.15,-0.0,0.988831,-2.563907,16.929502,0.802642,3492,798,-3760,4444,627,-2610
45,10396,24504,32767,292,-5279,1817,-0.01,-0.21,0.02,0.977844,-1.731372,23.971132,-2.403058,2253,5166,2252,941,5285,2829
46,11028,28612,32767,-387,-2974,753,0.0,-0.25,0.03,0.967163,-1.071569,29.160885,-4.340386,1435,8892,5640,-2085,8864,5478
47,11712,26764,32767,-598,-17,-619,0.01,-0.27,0.03,0.962891,-0.063792,31.092121,-4.372435,1313,11230,7429,-3440,11035,7028
48,12324,21528,32767,-770,2570,-1828,0.02,-0.25,0.02,0.96698,1.505535,29.434376,-2.486283,1679,11481,8205,-2996,11190,8231
49,13420,12308,32767,-1036,3973,-2694,0.02,-0.22,-0.01,0.975525,2.943749,25.197573,0.798669,2591,10017,8415,-1121,9615,9172
50,12788,7800,20392,-1223,4234,-2909,0.02,-0.17,-0.04,0.983521,3.451926,19.921694,4.70677,3550,7467,7200,1417,6914,8388
